aggregation_timestamp,n_requests,operation,snapshot_id,n_context,n_context_tokens_total,n_generated,n_generated_tokens_total
2023-07-20T20:45:00.000Z,2,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,2,30,2,224
2023-07-20T20:50:00.000Z,6,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,6,97,6,1200
2023-07-20T21:30:00.000Z,6,completion,gpt-3.5-turbo-0613,6,3510,6,1662
2023-07-21T01:35:00.000Z,1,completion,gpt-4-0613,1,8,1,26
2023-07-21T05:50:00.000Z,1,completion,gpt-4-0613,1,149,1,341
2023-07-21T09:05:00.000Z,8,completion,gpt-3.5-turbo-0613,8,4691,8,2072
2023-07-21T09:10:00.000Z,10,completion,gpt-3.5-turbo-0613,10,5348,10,1838
2023-07-21T10:10:00.000Z,2,completion,gpt-4-0613,2,186,2,432
2023-07-21T11:15:00.000Z,1,completion,gpt-4-0613,1,217,1,250
2023-07-21T11:30:00.000Z,1,completion,text-davinci:003,1,8,1,10
2023-07-21T11:35:00.000Z,1,completion,gpt-4-0613,1,45,1,395
2023-07-21T11:35:00.000Z,2,completion,text-davinci:003,2,157,2,317
2023-07-21T11:40:00.000Z,3,completion,gpt-4-0613,3,2212,3,805
2023-07-21T12:00:00.000Z,8,completion,text-davinci:003,8,232,8,631
2023-07-21T12:05:00.000Z,15,completion,text-davinci:003,15,897,15,2042
2023-07-21T12:10:00.000Z,5,completion,text-davinci:003,5,424,5,635
2023-07-21T12:25:00.000Z,6,completion,text-davinci:003,6,540,6,1088
2023-07-21T13:20:00.000Z,1,completion,text-davinci:003,1,76,1,188
2023-07-21T14:35:00.000Z,5,completion,text-davinci:003,5,464,5,726
2023-07-21T16:20:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,1,13,1,200
2023-07-21T17:00:00.000Z,2,completion,gpt-3.5-turbo-0613,2,1657,2,354
2023-07-21T17:05:00.000Z,2,completion,gpt-3.5-turbo-0613,2,1683,2,678
2023-07-21T17:50:00.000Z,2,completion,gpt-3.5-turbo-0613,2,1756,2,710
